 [2022-10-01 22:56:38,735] Register - Step 01: Navigate to Register page
 [2022-10-01 23:44:04,473] Login - Step 04: Click to Login button
 [2022-10-01 23:44:05,390] Login - Step 05: Verify My account link is displayed
 [2022-10-01 23:44:05,517]  -------------------------- PASSED -------------------------- 
 [2022-10-01 23:44:05,526] My Account - Step 01: Navigate to My account page
 [2022-10-01 23:44:06,140] My Account - Step 02: Verify Customer infor page is displayed
 [2022-10-01 23:44:06,259]  -------------------------- PASSED -------------------------- 
 [2022-10-01 23:44:06,259] My Account - Step 03: Verify 'Firstname' value is correctly
 [2022-10-01 23:44:06,365]  -------------------------- PASSED -------------------------- 
 [2022-10-01 23:44:06,365] My Account - Step 04: Verify 'Lastname' value is correctly
 [2022-10-01 23:44:06,441]  -------------------------- PASSED -------------------------- 
 [2022-10-01 23:44:06,441] My Account - Step 05: Verify 'Email' value is correctly
 [2022-10-01 23:44:06,521]  -------------------------- PASSED -------------------------- 
 [2022-10-01 23:44:06,526] OS name = windows 10
 [2022-10-01 23:44:06,526] Driver instance name = chromedriver: chrome on windows (ec64d31e660193ec17def54ba5d97b0b)
 [2022-10-01 23:44:59,972] Register - Step 01: Navigate to Register page
 [2022-10-01 23:45:30,407] Login - Step 01: Navigate to Login page
 [2022-10-01 23:45:30,418] My Account - Step 01: Navigate to My account page
 [2022-10-01 23:46:00,651] OS name = windows 10
 [2022-10-01 23:46:00,652] Driver instance name = chromedriver: chrome on windows (1457caeaeb3bdbf98085f9d68905dc88)
 [2022-10-01 23:46:00,660] no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=105.0.5195.127)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-G8U2059', ip: '192.168.1.58', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.15.1'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 105.0.5195.127, chrome: {chromedriverVersion: 105.0.5195.52 (412c95e51883..., userDataDir: C:\Users\THAOLE~1\AppData\L...}, goog:chromeOptions: {debuggerAddress: localhost:57502}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 1457caeaeb3bdbf98085f9d68905dc88
 [2022-10-04 00:28:02,345] Pre-Condition: Open browse and navigate to Homepage
 [2022-10-04 00:28:08,971] RegisterWithEmptyData - Step 01: Navigate to Register page
 [2022-10-04 00:28:09,943] RegisterWithEmptyData - Step 02: Click to Register button
 [2022-10-04 00:28:10,127] RegisterWithEmptyData - Step 03: Verify error message at Firstname textbox
 [2022-10-04 00:28:10,227]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:10,228] RegisterWithEmptyData - Step 04: Verify error message at Lastname textbox
 [2022-10-04 00:28:10,314]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:10,314] RegisterWithEmptyData - Step 05: Verify error message at Email textbox
 [2022-10-04 00:28:10,413]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:10,413] RegisterWithEmptyData - Step 06: Verify error message at Password textbox
 [2022-10-04 00:28:10,494]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:10,494] RegisterWithEmptyData - Step 07: Verify error message at Confirm password textbox
 [2022-10-04 00:28:10,572]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:10,675] RegisterWithInvalidEmail - Step 01: Navigate to Register page
 [2022-10-04 00:28:11,721] RegisterWithInvalidEmail - Step 02: Input to Firstname textbox with value: Automation
 [2022-10-04 00:28:11,909] RegisterWithInvalidEmail - Step 03: Input to Lastname textbox with value: FC
 [2022-10-04 00:28:12,108] RegisterWithInvalidEmail - Step 04: Input to Email textbox with value: automation@#$%
 [2022-10-04 00:28:12,312] RegisterWithInvalidEmail - Step 05: Input to Password textbox with value: 123456
 [2022-10-04 00:28:12,531] RegisterWithInvalidEmail - Step 06: Input to Confirm Password textbox with value: 123456
 [2022-10-04 00:28:12,722] RegisterWithInvalidEmail - Step 07: Click to Register button
 [2022-10-04 00:28:12,850] RegisterWithInvalidEmail - Step 08: Verify error message at Email textbox
 [2022-10-04 00:28:12,929]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:12,939] RegisterWithPasswordLess6Char - Step 01: Navigate to Register page
 [2022-10-04 00:28:13,388] RegisterWithPasswordLess6Char - Step 02: Input to Firstname textbox with value: Automation
 [2022-10-04 00:28:13,629] RegisterWithPasswordLess6Char - Step 03: Input to Lastname textbox with value: FC
 [2022-10-04 00:28:13,798] RegisterWithPasswordLess6Char - Step 04: Input to Email textbox with value: automation70@gmail.com
 [2022-10-04 00:28:14,014] RegisterWithPasswordLess6Char - Step 05: Input to Password textbox with value: 1234
 [2022-10-04 00:28:14,184] RegisterWithPasswordLess6Char - Step 06: Input to Confirm Password textbox with value: 1234
 [2022-10-04 00:28:14,377] RegisterWithPasswordLess6Char - Step 07: Click to Register button
 [2022-10-04 00:28:14,504] RegisterWithPasswordLess6Char - Step 08: Verify error message at Password textbox
 [2022-10-04 00:28:14,570]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:14,579] RegisterConfirmPassword - Step 01: Navigate to Register page
 [2022-10-04 00:28:14,955] RegisterConfirmPassword - Step 02: Input to Firstname textbox with value: Automation
 [2022-10-04 00:28:15,171] RegisterConfirmPassword - Step 03: Input to Lastname textbox with value: FC
 [2022-10-04 00:28:15,346] RegisterConfirmPassword - Step 04: Input to Email textbox with value: automation70@gmail.com
 [2022-10-04 00:28:15,559] RegisterConfirmPassword - Step 05: Input to Password textbox with value: 123456
 [2022-10-04 00:28:15,733] RegisterConfirmPassword - Step 06: Input to Confirm Password textbox with value: 1234567
 [2022-10-04 00:28:15,917] RegisterConfirmPassword - Step 07: Click to Register button
 [2022-10-04 00:28:16,038] RegisterConfirmPassword - Step 08: Verify error message at Confirm password textbox
 [2022-10-04 00:28:16,124]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:16,132] RegisterSuccess - Step 01: Navigate to Register page
 [2022-10-04 00:28:16,507] RegisterSuccess - Step 02: Input to Firstname textbox with value: Automation
 [2022-10-04 00:28:16,695] RegisterSuccess - Step 03: Input to Lastname textbox with value: FC
 [2022-10-04 00:28:16,863] RegisterSuccess - Step 04: Input to Email textbox with value: automation70@gmail.com
 [2022-10-04 00:28:17,076] RegisterSuccess - Step 05: Input to Password textbox with value: 123456
 [2022-10-04 00:28:17,259] RegisterSuccess - Step 06: Input to Confirm Password textbox with value: 123456
 [2022-10-04 00:28:17,448] RegisterSuccess - Step 07: Click to Register button
 [2022-10-04 00:28:18,530] RegisterSuccess - Step 08: Vefiry Register success message is displayed
 [2022-10-04 00:28:18,615]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:18,616] RegisterSuccess - Step 09: Click to Logout button
 [2022-10-04 00:28:19,469] RegisterWithEmailExsited - Step 01: Navigate to Register page
 [2022-10-04 00:28:19,999] RegisterWithEmailExsited - Step 02: Input to Firstname textbox with value: Automation
 [2022-10-04 00:28:20,220] RegisterWithEmailExsited - Step 03: Input to Lastname textbox with value: FC
 [2022-10-04 00:28:20,411] RegisterWithEmailExsited - Step 04: Input to Email textbox with value: automation70@gmail.com
 [2022-10-04 00:28:20,607] RegisterWithEmailExsited - Step 05: Input to Password textbox with value: 123456
 [2022-10-04 00:28:20,782] RegisterWithEmailExsited - Step 06: Input to Confirm Password textbox with value: 123456
 [2022-10-04 00:28:20,955] RegisterWithEmailExsited - Step 07: Click to Register button
 [2022-10-04 00:28:21,510] RegisterWithEmailExsited - Step 08: Verify error message at Email textbox
 [2022-10-04 00:28:21,610]  -------------------------- PASSED -------------------------- 
 [2022-10-04 00:28:21,616] OS name = windows 10
 [2022-10-04 00:28:21,617] Driver instance name = chromedriver: chrome on windows (9569c6cb099a0c7faa2e1ca24a9b035b)
 [2022-10-04 12:44:08,153] Pre-Condition - Step 01: Open browse and navigate to Homepage
 [2022-10-04 12:44:20,244] Pre-Condition - Step 02: Navigate to Register page
 [2022-10-04 12:44:22,413] Pre-Condition - Step 03: Input to Firstname textbox with value: Automation
 [2022-10-04 12:44:22,857] Pre-Condition - Step 04: Input to Lastname textbox with value: FC
 [2022-10-04 12:44:23,066] Pre-Condition - Step 05: Input to Email textbox with value: automation5712@gmail.com
 [2022-10-04 12:44:23,311] Pre-Condition - Step 06: Input to Password textbox with value: 123456
 [2022-10-04 12:44:23,508] Pre-Condition - Step 07: Input to Confirm Password textbox with value: 123456
 [2022-10-04 12:44:23,737] Pre-Condition - Step 08: Click to Register button
 [2022-10-04 12:44:24,756] Pre-Condition - Step 09: Vefiry Register success message is displayed
 [2022-10-04 12:44:24,874]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:44:24,874] Pre-Condition - Step 10: Click to Logout button
 [2022-10-04 12:44:25,863] LoginWithEmptyData - Step 01: Navigate to Login page
 [2022-10-04 12:44:26,732] LoginWithEmptyData - Step 02: Click to Login button
 [2022-10-04 12:44:26,931] LoginWithEmptyData - Step 03: Verify error message at Email textbox
 [2022-10-04 12:44:27,038]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:44:27,223] LoginWithInvalidEmail - Step 01: Navigate to Login page
 [2022-10-04 12:44:27,626] LoginWithInvalidEmail - Step 02: Input to Email textbox with value: automation@%^&
 [2022-10-04 12:44:27,867] LoginWithInvalidEmail - Step 03: Input to Password textbox with value: 123456
 [2022-10-04 12:44:28,041] LoginWithInvalidEmail - Step 04: Click to Login button
 [2022-10-04 12:44:28,174] LoginWithInvalidEmail - Step 03: Verify error message at Email textbox
 [2022-10-04 12:44:28,256]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:44:28,267] EmailIsNotRegisted - Step 01: Navigate to Login page
 [2022-10-04 12:44:28,624] EmailIsNotRegisted - Step 02: Input to Email textbox with value: automation@net.vn
 [2022-10-04 12:44:28,820] EmailIsNotRegisted - Step 03: Input to Password textbox with value: 123456
 [2022-10-04 12:44:28,980] EmailIsNotRegisted - Step 04: Click to Login button
 [2022-10-04 12:44:29,115] EmailIsNotRegisted - Step 05: Verify unsuccessful message
 [2022-10-04 12:44:59,464] EmptyPassword - Step 01: Navigate to Login page
 [2022-10-04 12:45:00,673] EmptyPassword - Step 02: Input to Email textbox with value: automation5712@gmail.com
 [2022-10-04 12:45:00,974] EmptyPassword - Step 04: Click to Login button
 [2022-10-04 12:45:01,498] EmptyPassword - Step 03: Verify unsuccessful message
 [2022-10-04 12:45:01,572]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:45:01,580] WrongPassword - Step 01: Navigate to Login page
 [2022-10-04 12:45:01,990] WrongPassword - Step 02: Input to Email textbox with value: automation5712@gmail.com
 [2022-10-04 12:45:02,218] WrongPassword - Step 03: Input to Password textbox with value: 1234567
 [2022-10-04 12:45:02,346] WrongPassword - Step 04: Click to Login button
 [2022-10-04 12:45:02,481] WrongPassword - Step 05: Verify unsuccessful message
 [2022-10-04 12:45:32,797] Success - Step 01: Navigate to Login page
 [2022-10-04 12:45:34,015] Success - Step 02: Input to Email textbox with value: automation5712@gmail.com
 [2022-10-04 12:45:34,263] Success - Step 03: Input to Password textbox with value: 123456
 [2022-10-04 12:45:34,434] Success - Step 04: Click to Login button
 [2022-10-04 12:45:34,576] Success - Step 03: Verify login successful message
 [2022-10-04 12:46:04,903] OS name = windows 10
 [2022-10-04 12:46:04,904] Driver instance name = chromedriver: chrome on windows (0225edded40acf264ad73d809d22d299)
 [2022-10-04 12:50:28,842] Pre-Condition - Step 01: Open browse and navigate to Homepage
 [2022-10-04 12:50:37,900] Pre-Condition - Step 02: Navigate to Register page
 [2022-10-04 12:50:39,886] Pre-Condition - Step 03: Input to Firstname textbox with value: Automation
 [2022-10-04 12:50:40,212] Pre-Condition - Step 04: Input to Lastname textbox with value: FC
 [2022-10-04 12:50:40,471] Pre-Condition - Step 05: Input to Email textbox with value: automation6029@gmail.com
 [2022-10-04 12:50:40,886] Pre-Condition - Step 06: Input to Password textbox with value: 123456
 [2022-10-04 12:50:41,247] Pre-Condition - Step 07: Input to Confirm Password textbox with value: 123456
 [2022-10-04 12:50:41,591] Pre-Condition - Step 08: Click to Register button
 [2022-10-04 12:50:42,849] Pre-Condition - Step 09: Vefiry Register success message is displayed
 [2022-10-04 12:50:42,959]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:50:42,960] Pre-Condition - Step 10: Click to Logout button
 [2022-10-04 12:50:44,151] LoginWithEmptyData - Step 01: Navigate to Login page
 [2022-10-04 12:50:45,091] LoginWithEmptyData - Step 02: Click to Login button
 [2022-10-04 12:50:45,375] LoginWithEmptyData - Step 03: Verify error message at Email textbox
 [2022-10-04 12:50:45,487]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:50:45,612] LoginWithInvalidEmail - Step 01: Navigate to Login page
 [2022-10-04 12:50:46,024] LoginWithInvalidEmail - Step 02: Input to Email textbox with value: automation@%^&
 [2022-10-04 12:50:46,323] LoginWithInvalidEmail - Step 03: Input to Password textbox with value: 123456
 [2022-10-04 12:50:46,567] LoginWithInvalidEmail - Step 04: Click to Login button
 [2022-10-04 12:50:46,740] LoginWithInvalidEmail - Step 03: Verify error message at Email textbox
 [2022-10-04 12:50:46,814]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:50:46,823] EmailIsNotRegisted - Step 01: Navigate to Login page
 [2022-10-04 12:50:47,221] EmailIsNotRegisted - Step 02: Input to Email textbox with value: automation@net.vn
 [2022-10-04 12:50:47,527] EmailIsNotRegisted - Step 03: Input to Password textbox with value: 123456
 [2022-10-04 12:50:47,726] EmailIsNotRegisted - Step 04: Click to Login button
 [2022-10-04 12:50:48,285] EmailIsNotRegisted - Step 05: Verify unsuccessful message
 [2022-10-04 12:50:48,442]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:50:48,451] EmptyPassword - Step 01: Navigate to Login page
 [2022-10-04 12:50:48,838] EmptyPassword - Step 02: Input to Email textbox with value: automation6029@gmail.com
 [2022-10-04 12:50:49,099] EmptyPassword - Step 04: Click to Login button
 [2022-10-04 12:50:49,592] EmptyPassword - Step 03: Verify unsuccessful message
 [2022-10-04 12:50:49,698]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:50:49,706] WrongPassword - Step 01: Navigate to Login page
 [2022-10-04 12:50:50,128] WrongPassword - Step 02: Input to Email textbox with value: automation6029@gmail.com
 [2022-10-04 12:50:50,374] WrongPassword - Step 03: Input to Password textbox with value: 1234567
 [2022-10-04 12:50:50,583] WrongPassword - Step 04: Click to Login button
 [2022-10-04 12:50:51,103] WrongPassword - Step 05: Verify unsuccessful message
 [2022-10-04 12:50:51,200]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:50:51,220] Success - Step 01: Navigate to Login page
 [2022-10-04 12:50:51,624] Success - Step 02: Input to Email textbox with value: automation6029@gmail.com
 [2022-10-04 12:50:51,833] Success - Step 03: Input to Password textbox with value: 123456
 [2022-10-04 12:50:52,022] Success - Step 04: Click to Login button
 [2022-10-04 12:50:52,917] Success - Step 03: Verify login successful message
 [2022-10-04 12:50:53,036]  -------------------------- PASSED -------------------------- 
 [2022-10-04 12:50:53,042] OS name = windows 10
 [2022-10-04 12:50:53,042] Driver instance name = chromedriver: chrome on windows (a8a8172f6bda2ff7fd5386f91dd12a2e)
 [2022-10-04 15:40:43,878] Pre-Condition - Step 01: Open browse and navigate to Homepage
 [2022-10-04 15:40:51,249] Pre-Condition - Step 02: Navigate to Register page
 [2022-10-04 15:40:51,973] Pre-Condition - Step 03: Input to Firstname textbox with value: Automation
 [2022-10-04 15:40:52,188] Pre-Condition - Step 04: Input to Lastname textbox with value: FC
 [2022-10-04 15:40:52,373] Pre-Condition - Step 05: Input to Email textbox with value: automation3699@gmail.com
 [2022-10-04 15:40:52,601] Pre-Condition - Step 06: Input to Password textbox with value: 123456
 [2022-10-04 15:40:52,803] Pre-Condition - Step 07: Input to Confirm Password textbox with value: 123456
 [2022-10-04 15:40:52,987] Pre-Condition - Step 08: Click to Register button
 [2022-10-04 15:40:54,902] Pre-Condition - Step 09: Vefiry Register success message is displayed
 [2022-10-04 15:40:54,989]  -------------------------- PASSED -------------------------- 
 [2022-10-04 15:40:54,989] Pre-Condition - Step 10: Click to MyAccount link
 [2022-10-04 15:40:55,717] CustomerInfo - Step 01: Open Customer Info page
 [2022-10-04 15:40:56,223] CustomerInfo - Step 02: Update Gender Checkbox with value: Male
 [2022-10-04 15:40:56,399] CustomerInfo - Step 03: Update first name textbox with value: Autotmation
 [2022-10-04 15:41:26,652] OS name = windows 10
 [2022-10-04 15:41:26,653] Driver instance name = chromedriver: chrome on windows (bfcb0ca424960b1627b6c0f209f95938)
 [2022-10-04 15:43:05,143] Pre-Condition - Step 01: Open browse and navigate to Homepage
 [2022-10-04 15:43:10,743] Pre-Condition - Step 02: Navigate to Register page
 [2022-10-04 15:43:12,452] Pre-Condition - Step 03: Input to Firstname textbox with value: Automation
 [2022-10-04 15:43:12,686] Pre-Condition - Step 04: Input to Lastname textbox with value: FC
 [2022-10-04 15:43:12,910] Pre-Condition - Step 05: Input to Email textbox with value: automation1845@gmail.com
 [2022-10-04 15:43:13,143] Pre-Condition - Step 06: Input to Password textbox with value: 123456
 [2022-10-04 15:43:13,333] Pre-Condition - Step 07: Input to Confirm Password textbox with value: 123456
 [2022-10-04 15:43:13,525] Pre-Condition - Step 08: Click to Register button
 [2022-10-04 15:43:14,406] Pre-Condition - Step 09: Vefiry Register success message is displayed
 [2022-10-04 15:43:14,510]  -------------------------- PASSED -------------------------- 
 [2022-10-04 15:43:14,510] Pre-Condition - Step 10: Click to MyAccount link
 [2022-10-04 15:43:15,217] CustomerInfo - Step 01: Open Customer Info page
 [2022-10-04 15:43:15,770] CustomerInfo - Step 02: Update Gender Checkbox with value: Male
 [2022-10-04 15:43:15,925] CustomerInfo - Step 03: Update first name textbox with value: Autotmation
 [2022-10-04 15:43:16,130] CustomerInfo - Step 04: Update last name textbox with value: FC
 [2022-10-04 15:43:16,325] CustomerInfo - Step 05: Update date of birth dropdown with value: 01/01/1999
 [2022-10-04 15:43:47,023] OS name = windows 10
 [2022-10-04 15:43:47,029] Driver instance name = chromedriver: chrome on windows (e610242851954eef1000adb1772d09ca)
 [2022-10-04 15:45:50,321] Pre-Condition - Step 01: Open browse and navigate to Homepage
 [2022-10-04 15:45:56,497] Pre-Condition - Step 02: Navigate to Register page
 [2022-10-04 15:45:57,478] Pre-Condition - Step 03: Input to Firstname textbox with value: Automation
 [2022-10-04 15:45:57,705] Pre-Condition - Step 04: Input to Lastname textbox with value: FC
 [2022-10-04 15:45:57,901] Pre-Condition - Step 05: Input to Email textbox with value: automation8646@gmail.com
 [2022-10-04 15:45:58,146] Pre-Condition - Step 06: Input to Password textbox with value: 123456
 [2022-10-04 15:45:58,351] Pre-Condition - Step 07: Input to Confirm Password textbox with value: 123456
 [2022-10-04 15:45:58,556] Pre-Condition - Step 08: Click to Register button
